Date,Close/Last,Volume,Open,High,Low
1/18/2019,$339.10 ,26583340,$351.97 ,$353.00 ,$336.73 
1/17/2019,$353.19 ,18238350,$349.50 ,$355.79 ,$346.41 
1/16/2019,$351.39 ,15345670,$354.00 ,$358.85 ,$348.11 
1/15/2019,$354.64 ,21133450,$349.60 ,$357.22 ,$347.00 
1/14/2019,$332.94 ,10460420,$334.24 ,$335.48 ,$329.13 
1/11/2019,$337.59 ,19458690,$330.96 ,$341.09 ,$328.52 
1/10/2019,$324.66 ,13398180,$314.57 ,$325.37 ,$312.50 
1/9/2019,$319.96 ,13307980,$317.71 ,$323.35 ,$313.50 
1/8/2019,$320.27 ,15279550,$319.98 ,$320.59 ,$308.01 
1/7/2019,$315.34 ,18586260,$302.10 ,$316.80 ,$301.65 
1/4/2019,$297.57 ,19299450,$281.88 ,$297.80 ,$278.54 
1/3/2019,$271.20 ,14946970,$270.20 ,$275.79 ,$264.43 
1/2/2019,$267.66 ,11612970,$259.28 ,$269.75 ,$256.58 
12/31/2018,$267.66 ,13496880,$260.16 ,$270.10 ,$260.00 
12/28/2018,$256.08 ,10972920,$257.94 ,$261.91 ,$249.80 
12/27/2018,$255.57 ,12124430,$250.11 ,$255.59 ,$240.10 
12/26/2018,$253.67 ,14203700,$233.92 ,$254.50 ,$231.23 
12/24/2018,$233.88 ,9547616,$242.00 ,$250.65 ,$233.68 
12/21/2018,$246.39 ,21359330,$263.83 ,$264.50 ,$241.29 
12/20/2018,$260.58 ,16769340,$264.64 ,$269.90 ,$251.88 
12/19/2018,$266.77 ,13767940,$269.96 ,$280.87 ,$263.77 
12/18/2018,$270.94 ,10330450,$263.30 ,$275.75 ,$263.29 
12/17/2018,$262.80 ,9616301,$266.51 ,$272.98 ,$261.08 
12/14/2018,$266.84 ,9908930,$271.81 ,$277.67 ,$265.00 
12/13/2018,$276.02 ,8373219,$277.64 ,$279.32 ,$271.85 
12/12/2018,$274.88 ,11439180,$267.66 ,$281.77 ,$266.48 
12/11/2018,$265.32 ,9823745,$274.08 ,$274.50 ,$262.76 
12/10/2018,$269.70 ,9582549,$264.19 ,$271.18 ,$260.61 
12/7/2018,$265.14 ,12454720,$282.48 ,$284.21 ,$263.38 
12/6/2018,$282.88 ,13043830,$268.33 ,$283.22 ,$267.14 
12/4/2018,$275.33 ,12762320,$288.13 ,$295.74 ,$274.72 
12/3/2018,$290.30 ,14098100,$293.19 ,$298.72 ,$284.58 
11/30/2018,$286.13 ,11835670,$288.00 ,$290.81 ,$283.06 
11/29/2018,$288.75 ,15016520,$282.32 ,$290.49 ,$275.50 
11/28/2018,$282.65 ,14773990,$271.98 ,$284.00 ,$263.34 
11/27/2018,$266.63 ,10956480,$259.24 ,$269.08 ,$256.14 
